id,lemma,translation,transliteration,ipa,pos,category,examples,frequency,definition,audio,inflections
27,art,art,,,Noun,m,_____@,,art,,~['art', 'arti', 'art', 'artin', 'i', 'e', 'të', 'së', 'arti', 'artit', 'arti', 'artit', 'arti', 'artit']~
28,artist,artist,,,Noun,m,_____@,,artist (all senses),,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'artist', 'artistë', 'artisti', 'artistët', 'kallëzore', 'artist', 'artistë', 'artistin', 'artistët', 'gjinore', 'i', 'e', 'të', 'së', 'artisti', 'artistëve', 'artistit', 'artistëvet', 'dhanore', 'artisti', 'artistëve', 'artistit', 'artistëvet', 'rrjedhore', 'artisti', 'artistësh', 'artistit', 'artistëvet']~
29,Azia,Asia,,,Proper noun,,_____@,,Asia (a continent),,
30,pyet,ask,,,Verb,,_____@,,,,
31,supozoj,assume,,,Verb,,_____@,,to guess; hypothesizeSynonym: hamendësoj,,~['supozuar', 'duke supozuar', 'për të supozuar', 'supozoj', 'supozon', 'supozon', 'supozojmë', 'supozoni', 'supozojnë', 'supozoja', 'supozoje', 'supozonte', 'supozonim', 'supozonit', 'supozonin', 'supozova', 'supozove', 'supozoi', 'supozuam', 'supozuat', 'supozuan', 'kam supozuar', 'ke supozuar', 'ka supozuar', 'kemi supozuar', 'keni supozuar', 'kanë supozuar', 'kisha supozuar', 'kishe supozuar', 'kishte supozuar', 'kishim supozuar', 'kishit supozuar', 'kishin supozuar', 'pata supozuar', 'pate supozuar', 'pati supozuar', 'patëm supozuar', 'patët supozuar', 'patën supozuar', 'do të supozoj', 'do të supozosh', 'do të supozojë', 'do të supozojmë', 'do të supozoni', 'do të supozojnë', 'do të kem supozuar', 'do të kesh supozuar', 'do të ketë supozuar', 'do të kemi supozuar', 'do të keni supozuar', 'do të kenë supozuar', 'të supozoj', 'të supozosh', 'të supozojë', 'të supozojmë', 'të supozoni', 'të supozojnë', 'të supozoja', 'të supozoje', 'të supozonte', 'të supozonim', 'të supozonit', 'të supozonin', 'të kem supozuar', 'të kesh supozuar', 'të ketë supozuar', 'të kemi supozuar', 'të keni supozuar', 'të kenë supozuar', 'të kisha supozuar', 'të kishe supozuar', 'të kishte supozuar', 'të kishim supozuar', 'të kishit supozuar', 'të kishin supozuar', 'do të supozoja', 'do të supozoje', 'do të supozonte', 'do të supozonim', 'do të supozonit', 'do të supozonin', 'do të kisha supozuar', 'do të kishe supozuar', 'do të kishte supozuar', 'do të kishim supozuar', 'do të kishit supozuar', 'do të kishin supozuar', 'supozofsha', 'supozofsh', 'supozoftë', 'supozofshim', 'supozofshit', 'supozofshin', 'paça supozuar', 'paç supozuar', 'pastë supozuar', 'paçim supozuar', 'paçit supozuar', 'paçin supozuar', 'supozuakam', 'supozuake', 'supozuaka', 'supozuakemi', 'supozuakeni', 'supozuakan', 'supozuakësha', 'supozuakëshe', 'supozuakësh', 'supozuakëshim', 'supozuakëshit', 'supozuakëshin', 'paskam supozuar', 'paske supozuar', 'paska supozuar', 'paskemi supozuar', 'paskeni supozuar', 'paskan supozuar', 'paskësha supozuar', 'paskëshe supozuar', 'paskësh supozuar', 'paskëshim supozuar', 'paskëshit supozuar', 'paskëshin supozuar', '—', 'supozo', '—', '—', 'supozoni', '—']~
32,Atm,ATM,,,Noun,,_____@,,,,
33,sulm,attack,,,Noun,m,_____@,,attack; charge,,
34,gusht,August,,,Proper noun,m,_____@,,August,,
35,teze,aunt,,,Noun,f,_____@,,maternal aunt,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'teze', 'tezet', '{{{1}}}a', 'tezett', 'kallëzore', 'teze', 'tezet', 'tezen', 'tezett', 'gjinore', 'i', 'e', 'të', 'së', '{{{1}}}e', 'tezetve', 'tezes', 'tezetvet', 'dhanore', '{{{1}}}e', 'tezetve', 'tezes', 'tezetvet', 'rrjedhore', '{{{1}}}e', 'tezetsh', 'tezes', 'tezetvet']~
36,autor,author,,,Noun,m,_____@,,author,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'autor', 'autorë', 'autori', 'autorët', 'kallëzore', 'autor', 'autorë', 'autorin', 'autorët', 'gjinore', 'i', 'e', 'të', 'së', 'autori', 'autorëve', 'autorit', 'autorëvet', 'dhanore', 'autori', 'autorëve', 'autorit', 'autorëvet', 'rrjedhore', 'autori', 'autorësh', 'autorit', 'autorëvet']~
37,vjeshtë,autumn,,/ˈvjɛʃtə/,Noun,f,_____@,,autumn; fall,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'vjeshtë', 'vjeshta', 'vjeshta', 'vjeshtat', 'kallëzore', 'vjeshtë', 'vjeshta', 'vjeshtën', 'vjeshtat', 'gjinore', 'i', 'e', 'të', 'së', 'vjeshte', 'vjeshtave', 'vjeshtës', 'vjeshtavet', 'dhanore', 'vjeshte', 'vjeshtave', 'vjeshtës', 'vjeshtavet', 'rrjedhore', 'vjeshte', 'vjeshtash', 'vjeshtës', 'vjeshtavet']~
38,foshnjë,baby,,,Noun,f,Nuk jam një foshnjë.@I'm not a baby.,,infant,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'foshnjë', 'foshnja', 'foshnja', 'foshnjat', 'kallëzore', 'foshnjë', 'foshnja', 'foshnjën', 'foshnjat', 'gjinore', 'i', 'e', 'të', 'së', 'foshnje', 'foshnjave', 'foshnjës', 'foshnjavet', 'dhanore', 'foshnje', 'foshnjave', 'foshnjës', 'foshnjavet', 'rrjedhore', 'foshnje', 'foshnjash', 'foshnjës', 'foshnjavet']~
39,shpinë,back,,[ʃpiːn],Noun,f,_____@,,(anatomy) spine; back,,
40,keq,bad,,/kɛcɕ/,Adjective,m,Nuk jam një njeri i keq.@I'm not a bad person.,,bad; evil; wicked; naughty,,
41,thes,bag,,,Noun,m,_____@,,sack; bag,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'thes', 'thasë', 'thesi', 'thasët', 'kallëzore', 'thes', 'thasë', 'thesin', 'thasët', 'gjinore', 'i', 'e', 'të', 'së', 'thesi', 'thasëve', 'thesit', 'thasëvet', 'dhanore', 'thesi', 'thasëve', 'thesit', 'thasëvet', 'rrjedhore', 'thesi', 'thasësh', 'thesit', 'thasëvet']~
42,top,ball,,,Noun,m,_____@,,ball,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'top', 'tope', 'topi', 'topet', 'kallëzore', 'top', 'tope', 'topin', 'topet', 'gjinore', 'i', 'e', 'të', 'së', 'topi', 'topeve', 'topit', 'topevet', 'dhanore', 'topi', 'topeve', 'topit', 'topevet', 'rrjedhore', 'topi', 'topesh', 'topit', 'topevet']~
43,banane,banana,,,Noun,,Millie po ha një banane.@Millie is eating a banana.,,banana,,
44,grup,band,,,Noun,,Do të kemi një grup të talentuar këtu.@We'll have a talented group here.,,,,
45,bankë,bank,,,Noun,f,Librat janë mbi bankë.@The books are on the bench.,,bank,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'bankë', 'banka', 'banka', 'bankat', 'kallëzore', 'bankë', 'banka', 'bankën', 'bankat', 'gjinore', 'i', 'e', 'të', 'së', 'banke', 'bankave', 'bankës', 'bankavet', 'dhanore', 'banke', 'bankave', 'bankës', 'bankavet', 'rrjedhore', 'banke', 'bankash', 'bankës', 'bankavet']~
46,bar,bar,,/baɾ/,Noun,m,_____@,,grass,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'bar', 'barëra', 'bari', 'barërat', 'kallëzore', 'bar', 'barëra', 'barin', 'barërat', 'gjinore', 'i', 'e', 'të', 'së', 'bari', 'barërave', 'barit', 'barëravet', 'dhanore', 'bari', 'barërave', 'barit', 'barëravet', 'rrjedhore', 'bari', 'barërash', 'barit', 'barëravet']~
47,banjë,bathroom,,,Noun,,_____@,,,,
48,legen,basin,,,Noun,m,_____@,,basin; bucket,,
49,jam,be,,/jam/,Verb,,Unë jam vegjetarian.@I am a vegetarian.,,to be,,~['qenë', 'jam', 'je', 'është, ë', 'jemi', 'jeni', 'janë', 'isha', 'ishe', 'ishte, ish', 'ishim', 'ishit', 'ishin', 'qeshë', 'qe', 'qe', 'qemë', 'qetë', 'qenë', 'kam qenë', 'ke qenë', 'ka qenë', 'kemi qenë', 'keni qenë', 'kanë qenë', 'kisha qenë', 'kishe qenë', 'kishte qenë', 'kishim qenë', 'kishit qenë', 'kishin qenë', 'pata qenë', 'pate qenë', 'pati qenë', 'patëm qenë', 'patët qenë', 'patën qenë', 'do të jem', 'do të jesh', 'do të jetë', 'do të jemi', 'do të jeni', 'do të jenë', 'do të kem qenë', 'do të kesh qenë', 'do të ketë qenë', 'do të kemi qenë', 'do të keni qenë', 'do të kenë qenë', 'të jem', 'të jesh', 'të jetë', 'të jemi', 'të jeni', 'të jenë', 'të isha', 'të ishe', 'të ishte, të ish', 'të ishim', 'të ishit', 'të ishin', 'të kem qenë', 'të kesh qenë', 'të ketë qenë', 'të kemi qenë', 'të keni qenë', 'të kenë qenë', 'të kisha qenë', 'të kishe qenë', 'të kishte qenë', 'të kishim qenë', 'të kishit qenë', 'të kishin qenë', 'do të isha', 'do të ishe', 'do të ishte, do të ish', 'do të ishim', 'do të ishit', 'do të ishin', 'do të kisha qenë', 'do të kishe qenë', 'do të kishte qenë', 'do të kishim qenë', 'do të kishit qenë', 'do të kishin qenë', 'qofsha', 'qofsh', 'qoftë', 'qofshim', 'qofshit', 'qofshin', 'paça qenë', 'paç qenë', 'pastë qenë', 'paçim qenë', 'paçit qenë', 'paçin qenë', 'qenkam', 'qenke', 'qenka', 'qenkemi', 'qenkeni', 'qenkan', 'qenkësha', 'qenkëshe', 'qenkësh', 'qenkëshim', 'qenkëshit', 'qenkëshin', 'paskam qenë', 'paske qenë', 'paska qenë', 'paskemi qenë', 'paskeni qenë', 'paskan qenë', 'paskësha qenë', 'paskëshe qenë', 'paskësh qenë', 'paskëshim qenë', 'paskëshit qenë', 'paskëshin qenë', '—', 'ji', '—', '—', 'jini', '—']~
50,mund,be able to,,/mʊnd/,Verb,f,~Ju nuk mund te gjeni fjalite qe keni shtuar tani sepse ato nuk jane indeksuar akoma. Indeksimi i fjalive nuk eshte akoma i egekutueshem , kjo behet cdo jave.@You may not be able to find sentences that have been added recently because they have not been indexed yet. Indexation of sentences is not yet executed on-the-fly, only every week.~,,(active) mund (first-person singular past tense munda; participle mundur)[9],,~['mundur', 'duke mundur', 'për të mundur', 'mund', 'mund', 'mund', 'mundim', 'mundni', 'mundin', 'mundja', 'mundje', 'mundte', 'mundnim', 'mundnit', 'mundnin', 'munda', 'munde', 'mundi', 'mundëm', 'mundët', 'mundën', 'kam mundur', 'ke mundur', 'ka mundur', 'kemi mundur', 'keni mundur', 'kanë mundur', 'kisha mundur', 'kishe mundur', 'kishte mundur', 'kishim mundur', 'kishit mundur', 'kishin mundur', 'pata mundur', 'pate mundur', 'pati mundur', 'patëm mundur', 'patët mundur', 'patën mundur', 'do të mund', 'do të mundësh', 'do të mundë', 'do të mundim', 'do të mundni', 'do të mundin', 'do të kem mundur', 'do të kesh mundur', 'do të ketë mundur', 'do të kemi mundur', 'do të keni mundur', 'do të kenë mundur', 'të mund', 'të mundësh', 'të mundë', 'të mundim', 'të mundni', 'të mundin', 'të mundja', 'të mundje', 'të mundte', 'të mundnim', 'të mundnit', 'të mundnin', 'të kem mundur', 'të kesh mundur', 'të ketë mundur', 'të kemi mundur', 'të keni mundur', 'të kenë mundur', 'të kisha mundur', 'të kishe mundur', 'të kishte mundur', 'të kishim mundur', 'të kishit mundur', 'të kishin mundur', 'do të mundja', 'do të mundje', 'do të mundte', 'do të mundnim', 'do të mundnit', 'do të mundnin', 'do të kisha mundur', 'do të kishe mundur', 'do të kishte mundur', 'do të kishim mundur', 'do të kishit mundur', 'do të kishin mundur', 'mundsha', 'mundsh', 'mundtë', 'mundshim', 'mundshit', 'mundshin', 'paça mundur', 'paç mundur', 'pastë mundur', 'paçim mundur', 'paçit mundur', 'paçin mundur', 'mundkam', 'mundke', 'mundka', 'mundkemi', 'mundkeni', 'mundkan', 'mundkësha', 'mundkëshe', 'mundkësh', 'mundkëshim', 'mundkëshit', 'mundkëshin', 'paskam mundur', 'paske mundur', 'paska mundur', 'paskemi mundur', 'paskeni mundur', 'paskan mundur', 'paskësha mundur', 'paskëshe mundur', 'paskësh mundur', 'paskëshim mundur', 'paskëshit mundur', 'paskëshin mundur', '—', 'mund', '—', '—', 'mundni', '—']~
51,quhem,be called,~call, name~,/ˈcuhɛm/,Verb,,Tungjatjeta. Unë quhem José Silva. Si të quajnë?@Hello. My name is José Silva. What's your name?,,(passive; reflexive) I am called (named); my name isUnë quhem Lukë. ― My name is Luke.Besoj se quhet Afërdita. ― I think (that) her name is Aferdita.,,
52,plazh,beach,,[plaʒ],Noun,m,_____@,,beach,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'plazh', 'plazhe', 'plazhi', 'plazhet', 'kallëzore', 'plazh', 'plazhe', 'plazhin', 'plazhet', 'gjinore', 'i', 'e', 'të', 'së', 'plazhi', 'plazheve', 'plazhit', 'plazhevet', 'dhanore', 'plazhi', 'plazheve', 'plazhit', 'plazhevet', 'rrjedhore', 'plazhi', 'plazhesh', 'plazhit', 'plazhevet']~
53,mjekër,beard,,[ˈmjɛkəɹ],Noun,f,_____@,,chin,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'mjekër', 'mjekra', 'mjekra', 'mjekrat', 'kallëzore', 'mjekër', 'mjekra', 'mjekrën', 'mjekrat', 'gjinore', 'i', 'e', 'të', 'së', 'mjekre', 'mjekrave', 'mjekrës', 'mjekrave', 'dhanore', 'mjekre', 'mjekrave', 'mjekrës', 'mjekrave', 'rrjedhore', 'mjekre', 'mjekrash', 'mjekrës', 'mjekrave']~
54,bukur,beautiful,,/ˈbu.kuɾ/,Adjective,m,Vajza është e bukur.@The girl is beautiful.,,beautifulAi po kërkon një vajzë të bukur.He's looking for a beautiful girl.,,
55,bëhem,become,,[ˈbəhɛm],Verb,,Dua të bëhem astronaut.@I want to become an astronaut.,,I become,,~['bërë', 'qenë bërë', 'duke u bërë', 'duke u qenë bërë', "për t'u bërë (për të u bërë)", "për t'u qenë bërë (për të u qenë bërë)", 'pa u bërë', "më t'u bërë (më të u bërë)", 'bëhem', 'bëhesh', 'bëhet', 'bëhemi', 'bëheni', 'bëhen', 'po bëhem', 'po bëhesh', 'po bëhet', 'po bëhemi', 'po bëheni', 'po bëhen', 'bëhesha', 'bëheshe', 'bëhesh', 'bëheshim', 'bëheshit', 'bëheshin', 'po bëhesha', 'po bëheshe', 'po bëhesh', 'po bëheshim', 'po bëheshit', 'po bëheshin', 'u bëra', 'u bëre', 'u bëri', 'u bëmë', 'u bëtë', 'u bënë', 'jam bërë', 'je bërë', 'është bërë', 'jemi bërë', 'jeni bërë', 'janë bërë', 'isha bërë', 'ishe bërë', 'ishte bërë', 'ishim bërë', 'ishit bërë', 'ishin bërë', 'qeshë bërë', 'qe bërë', 'qe bërë', 'qemë bërë', 'qetë bërë', 'qenë bërë', 'kam për të u bërë', 'kam për të u bërë', 'kam për të u bërë', 'kam për të u bërë', 'kam për të u bërë', 'kam për të u bërë', 'kam për të qenë bërë', 'kam për të qenë bërë', 'kam për të qenë bërë', 'kam për të qenë bërë', 'kam për të qenë bërë', 'kam për të qenë bërë', 'do të bëhem', 'do të bëhesh', 'do të bëhet', 'do të bëhemi', 'do të bëheni', 'do të bëhen', 'do të jem bërë', 'do të jesh bërë', 'do të jetë bërë', 'do të jemi bërë', 'do të jeni bërë', 'do të jenë bërë', 'të bëhem', 'të bëhesh', 'të bëhet', 'të bëhemi', 'të bëheni', 'të bëhen', 'të bëhesha', 'të bëheshe', 'të bëhesh', 'të bëheshim', 'të bëheshit', 'të bëheshin', 'të jem bërë', 'të jesh bërë', 'të jetë bërë', 'të jemi bërë', 'të jeni bërë', 'të jenë bërë', 'të isha bërë', 'të ishe bërë', 'të ishte bërë', 'të ishim bërë', 'të ishit bërë', 'të ishin bërë', 'do të bëhem', 'do të bëhesh', 'do të bëhet', 'do të bëhemi', 'do të bëheni', 'do të bëhen', 'do të bëhesha', 'do të bëheshe', 'do të bëhesh', 'do të bëheshim', 'do të bëheshit', 'do të bëheshin', 'do të jem bërë', 'do të jesh bërë', 'do të jetë bërë', 'do të jemi bërë', 'do të jeni bërë', 'do të jenë bërë', 'do të isha bërë', 'do të ishe bërë', 'do të ishte bërë', 'do të ishim bërë', 'do të ishit bërë', 'do të ishin bërë', 'u bëfsha', 'u bëfsh', 'u bëftë', 'u bëfshim', 'u bëfshit', 'u bëfshin', 'qofsha bërë', 'qofsh bërë', 'qoftë bërë', 'qofshim bërë', 'qofshit bërë', 'qofshin bërë', 'u bëkam', 'u bëke', 'u bëka', 'u bëkemi', 'u bëkeni', 'u bëkan', 'u bëkësha', 'u bëkëshe', 'u bëkësh', 'u bëkëshim', 'u bëkëshit', 'u bëkëshin', 'qenkam bërë', 'qenke bërë', 'qenka bërë', 'qenkemi bërë', 'qenkeni bërë', 'qenkan bërë', 'qenkësha bërë', 'qenkëshe bërë', 'qenkësh bërë', 'qenkëshim bërë', 'qenkëshit bërë', 'qenkëshin bërë', '—', 'të bëhesh! — bëhu!', '—', '—', 'të bëheni! — bëhuni!', '—', '—', 'mos të bëhesh! (të mos bëhesh!) — mos bëhu!', '—', '—', 'mos të bëheni! (të mos bëheni!) — mos bëhuni!', '—', 'le të bëhem', 'le të bëhesh', 'le të bëhet', 'le të bëhemi', 'le të bëheni', 'le të bëhen', 'le të bëhesha', 'le të bëheshe', 'le të bëhesh', 'le të bëheshim', 'le të bëheshit', 'le të bëheshin', 'le të jem bërë', 'le të jesh bërë', 'le të jetë bërë', 'le të jemi bërë', 'le të jeni bërë', 'le të jenë bërë', 'le të isha bërë', 'le të ishe bërë', 'le të ishte bërë', 'le të ishim bërë', 'le të ishit bërë', 'le të ishin bërë']~
56,shtrat,bed,,/ʃtɾat/,Noun,m,_____@,,bed,,
57,dhomë gjumi,bedroom,,,Noun,,_____@,,,,
58,mish lope,beef,,,Noun,,_____@,,,,
59,birrë,beer,,,Noun,f,Doni një birrë?@Would you like a beer?,,beer,,
60,fillim,beginning,,[fɪˈɫim],Noun,m,_____@,,start; beginning,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'fillim', 'fillime', 'fillimi', 'fillimet', 'kallëzore', 'fillim', 'fillime', 'fillimin', 'fillimet', 'gjinore', 'i', 'e', 'të', 'së', 'fillimi', 'fillimeve', 'fillimit', 'fillimevet', 'dhanore', 'fillimi', 'fillimeve', 'fillimit', 'fillimevet', 'rrjedhore', 'fillimi', 'fillimesh', 'fillimit', 'fillimevet']~
61,besoj,believe,,/bɛˈsɔj/,Verb,m,Akoma besoj në dashuri.@I still believe in love.,,I believeAi s'beson në Zotin.He doesn't believe in God.,,~['besuar', 'duke besuar', 'për të besuar', 'besoj', 'beson', 'beson', 'besojmë', 'besoni', 'besojnë', 'besoja', 'besoje', 'besonte', 'besonim', 'besonit', 'besonin', 'besova', 'besove', 'besoi', 'besuam', 'besuat', 'besuan', 'kam besuar', 'ke besuar', 'ka besuar', 'kemi besuar', 'keni besuar', 'kanë besuar', 'kisha besuar', 'kishe besuar', 'kishte besuar', 'kishim besuar', 'kishit besuar', 'kishin besuar', 'pata besuar', 'pate besuar', 'pati besuar', 'patëm besuar', 'patët besuar', 'patën besuar', 'do të besoj', 'do të besosh', 'do të besojë', 'do të besojmë', 'do të besoni', 'do të besojnë', 'do të kem besuar', 'do të kesh besuar', 'do të ketë besuar', 'do të kemi besuar', 'do të keni besuar', 'do të kenë besuar', 'të besoj', 'të besosh', 'të besojë', 'të besojmë', 'të besoni', 'të besojnë', 'të besoja', 'të besoje', 'të besonte', 'të besonim', 'të besonit', 'të besonin', 'të kem besuar', 'të kesh besuar', 'të ketë besuar', 'të kemi besuar', 'të keni besuar', 'të kenë besuar', 'të kisha besuar', 'të kishe besuar', 'të kishte besuar', 'të kishim besuar', 'të kishit besuar', 'të kishin besuar', 'do të besoja', 'do të besoje', 'do të besonte', 'do të besonim', 'do të besonit', 'do të besonin', 'do të kisha besuar', 'do të kishe besuar', 'do të kishte besuar', 'do të kishim besuar', 'do të kishit besuar', 'do të kishin besuar', 'besofsha', 'besofsh', 'besoftë', 'besofshim', 'besofshit', 'besofshin', 'paça besuar', 'paç besuar', 'pastë besuar', 'paçim besuar', 'paçit besuar', 'paçin besuar', 'besuakam', 'besuake', 'besuaka', 'besuakemi', 'besuakeni', 'besuakan', 'besuakësha', 'besuakëshe', 'besuakësh', 'besuakëshim', 'besuakëshit', 'besuakëshin', 'paskam besuar', 'paske besuar', 'paska besuar', 'paskemi besuar', 'paskeni besuar', 'paskan besuar', 'paskësha besuar', 'paskëshe besuar', 'paskësh besuar', 'paskëshim besuar', 'paskëshit besuar', 'paskëshin besuar', '—', 'beso', '—', '—', 'besoni', '—']~
62,pije,beverage,,,Noun,,_____@,,drink,,
63,biçikletë,bicycle,,/bi.t͡ʃi.ˈkle.tə/,Noun,f,Kam një biçikletë të vjetër.@I have an old bicycle.,,bicycle,,
64,madh,big,,/iˈmað/,Adjective,m,Greqia është Armiku më i madh i Shqipërisë.@Greece is the biggest enemy of Albania.,,big; large,,
65,kontrolloj,check,,,Noun,,_____@,,,,
66,biologji,biology,,[bijɔlɔˈɟʑi],Noun,f,_____@,,biology,,~['biologji', 'biologjia', 'biologji', 'biologjinë', 'i', 'e', 'të', 'së', 'biologjie', 'biologjisë', 'biologjie', 'biologjisë', 'biologjie', 'biologjisë']~
67,zog,bird,,/zɔɡ/,Noun,m,Nga dritarja e burgut Agroni pa një zog që fluturonte i lirë dhe ndjeu një dëshirë të flaktë që edhe ai të shijonte lirinë.@From the prison window Agron saw a bird flying free and felt a burning desire that he had to enjoy freedom too.,,bird,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'zog', 'zogj', 'zogu', 'zogjtë', 'kallëzore', 'zog', 'zogj', 'zogun', 'zogjtë', 'gjinore', 'i', 'e', 'të', 'së', 'zogu', 'zogjve', 'zogut', 'zogjvet', 'dhanore', 'zogu', 'zogjve', 'zogut', 'zogjvet', 'rrjedhore', 'zogu', 'zogjsh', 'zogut', 'zogjvet']~
68,lindje,birth,,/liˈndjɛ/,Noun,f,_____@,,birth,,~['trajta të pashquara', 'trajta të shquara', 'numri njëjës', 'numri shumës', 'numri njëjës', 'numri shumës', 'emërore', 'lindje', 'lindje', 'lindja', 'lindjet', 'kallëzore', 'lindje', 'lindje', 'lindjen', 'lindjet', 'gjinore', 'i', 'e', 'të', 'së', 'lindjeje', 'lindjeve', 'lindjes', 'lindjeve', 'dhanore', 'lindjeje', 'lindjeve', 'lindjes', 'lindjeve', 'rrjedhore', 'lindjeje', 'lindjesh', 'lindjes', 'lindjeve']~
69,zi,black,,/zi/,Adjective,m,_____@,,black,,
